Token Count,Step Count,Actual Log-Likelihood,Retokenized Log-Likelihood,Class
500,600,-1933.987793,-1956,1
500,600,-1804.677979,-1816,1
500,600,-2273.926758,-2286,1
500,600,-1942.776611,-1954,1
500,600,-1981.398438,-1994,1
500,600,-2094.332031,-2096,1
500,600,-2120.742188,-2136,1
500,600,-1976.061523,-1984,1
500,600,-2105.967285,-2114,1
500,600,-1975.687744,-2007,1
500,600,-2050.788818,-2121,1
750,750,-3035.753662,-3044,1
750,750,-3072.187012,-3190,1
750,750,-3293.410889,-3325,1
750,750,-3054.474121,-3081,1
750,750,-3049.583984,-3061,1
750,750,-3469.678223,-3514,1
750,750,-2564.702881,-2572,1
750,750,-2793.609863,-2803,1
750,750,-3071.144775,-3066,1
750,750,-2415.251953,-2412,1
750,750,-2658.242432,-2697,1
750,750,-3046.439941,-3051,1
750,750,-2531.464844,-2560,1
750,750,-2851.855469,-2848,1
750,750,-3029.477539,-3034,1
750,750,-3318.406738,-3324,1
750,750,-2866.183105,-2875,1
750,750,-2920.245117,-2942,1
750,750,-3017.619629,-3046,1
750,750,-2706.056152,-2710,1
750,750,-2598.848145,-2625,1
750,750,-3321.452637,-3332,1
750,750,-2781.73291,-2783,1
750,750,-3057.339844,-3076,1
750,750,-2827.916992,-2844,1
750,750,-3301.024658,-3339,1
750,750,-3194.740723,-3220,1
750,750,-2787.708008,-2779,1
750,750,-2507.033936,-2493,1
750,750,-2726.714844,-2744,1
750,750,-2986.458008,-2995,1
750,750,-2875.884033,-2881,1
750,750,-2776.291992,-2772,1
750,750,-3028.364014,-3043,1
750,750,-2845.557861,-2855,1
750,750,-2845.131836,-2850,1
750,750,-2664.543457,-2668,1
750,750,-2897.100342,-2915,1
750,750,-3216.149902,-3219,1
750,750,-3141.308594,-3144,1
750,750,-2854.414307,-2902,1
750,750,-2964.589355,-2970,1
750,750,-2787.041504,-2799,1
750,750,-3077.286377,-3085,1
750,750,-3027.052734,-3048,1
750,750,-3109.767578,-3138,1
750,750,-2898.537354,-2910,1
750,750,-2760.171631,-2796,1
750,750,-3119.684814,-3149,1
750,750,-3035.097168,-3098,1
750,750,-3100.087891,-3090,1
750,750,-2732.656006,-2740,1
750,750,-3029.345703,-3059,1
750,750,-2663.696777,-2693,1
750,750,-2659.682129,-2669,1
750,750,-2668.574951,-2684,1
750,750,-3017.65332,-3023,1
750,750,-2675.855225,-2688,1
750,750,-2789.733887,-2808,1
750,750,-3198.240234,-3193,1
750,750,-3030.595215,-3063,1
750,750,-3070.030273,-3101,1
750,750,-2919.984375,-2938,1
750,750,-2717.654785,-2730,1
750,750,-3014.254883,-3044,1
750,750,-2951.907959,-2957,1
750,750,-3007.615723,-3068,1
750,750,-3172.728516,-3183,1
750,750,-2627.061768,-2626,1
900,900,-3374.127441,-3385,1
900,900,-3441.626465,-3489,1
900,900,-3707.70752,-3701,1
900,900,-3413.582764,-3429,1
900,900,-3625.388672,-3690,1
900,900,-3696.534668,-3744,1
900,900,-3793.264648,-3839,1
900,900,-3612.52832,-3614,1
900,900,-3423.111816,-3436,1
900,900,-3593.325195,-3617,1
900,900,-3329.172363,-3343,1
900,900,-3589.926025,-3618,1
900,900,-3508.412842,-3519,1
900,900,-3158.660156,-3168,1
900,900,-3264.677002,-3260,1
900,900,-3691.60791,-3700,1
900,900,-3572.491211,-3563,1
900,900,-3387.803223,-3383,1
900,900,-3381.200195,-3389,1
900,900,-3621.10498,-3627,1
900,900,-3667.52002,-3679,1
900,900,-3777.706055,-3774,1
900,900,-3497.183594,-3499,1
900,900,-3366.808838,-3379,1
900,900,-3245.578857,-3266,1
900,900,-3473.00293,-3480,1
900,900,-3571.165527,-3597,1
900,900,-3472.373047,-3468,1
900,900,-3411.841309,-3410,1
900,900,-3604.172363,-3599,1
900,900,-3527.13623,-3569,1
900,900,-3468.947266,-3564,1
900,900,-3624.202393,-3641,1
900,900,-3156.970215,-3160,1
900,900,-3377.167725,-3411,1
900,900,-3615.423096,-3624,1
900,900,-3589.34082,-3622,1
900,900,-3259.953125,-3273,1
900,900,-3645.638428,-3658,1
900,900,-3279.826172,-3282,1
900,900,-3263.96875,-3286,1
900,900,-3722.187988,-3744,1
900,900,-3579.459473,-3620,1
900,900,-3114.032715,-3138,1
900,900,-3587.879883,-3678,1
900,900,-3270.236084,-3264,1
900,900,-3633.248047,-3647,1
900,900,-3905.325195,-3902,1
900,900,-3334.575195,-3366,1
900,900,-3488.645996,-3502,1
900,900,-3673.018066,-3675,1
900,900,-3295.198486,-3301,1
900,900,-3721.741699,-3724,1
900,900,-4569.742188,-4718,1
900,900,-3399.243408,-3412,1
900,900,-3776.517578,-3798,1
900,900,-3483.150391,-3503,1
900,900,-3227.109375,-3252,1
900,900,-3512.24292,-3563,1
900,900,-3259.202148,-3262,1
900,900,-3332.793457,-3345,1
900,900,-3802.813965,-3808,1
900,900,-3342.730225,-3368,1
900,900,-3326.035645,-3375,1
900,900,-3571.662598,-3585,1
900,900,-4033.21167,-4079,1
900,900,-3306.924316,-3341,1
900,900,-4080.172852,-4119,1
1000,1000,-4037.249023,-4070,1
1000,1000,-3525.33252,-3562,1
1000,1000,-3291.20874,-3298,1
1000,1000,-4128.944336,-4139,1
1000,1000,-3762.154053,-3771,1
1000,1000,-3906.445313,-3918,1
1000,1000,-3613.299805,-3622,1
1000,1000,-3884.336914,-3916,1
1000,1000,-3815.098633,-3824,1
1000,1000,-3711.660889,-3721,1
1000,1000,-3696.813965,-3702,1
1000,1000,-4269.784668,-4307,1
1000,1000,-3444.195801,-3477,1
1000,1000,-3871.216064,-3908,1
1000,1000,-4095.966797,-4115,1
1000,1000,-4350.345703,-4360,1
1000,1000,-3735.986328,-3786,1
1000,1000,-3779.013916,-3785,1
1000,1000,-4292.081055,-4333,1
1000,1000,-3615.056152,-3610,1
1000,1000,-3722.270508,-3739,1
1000,1000,-4249.095703,-4269,1
1000,1000,-4018.863037,-4032,1
1000,1000,-3970.077637,-3981,1
1000,1000,-3900.634521,-3912,1
1000,1000,-3953.744873,-3951,1
1000,1000,-3719.613281,-3733,1
1000,1000,-4203.693359,-4185,1
1000,1000,-3859.727051,-3852,1
1000,1000,-4319.317383,-4326,1
1000,1000,-3796.414551,-3790,1
1000,1000,-4118.544922,-4140,1
1000,1000,-4294.331055,-4347,1
1000,1000,-4042.523926,-4066,1
1000,1000,-3678.807617,-3694,1
1000,1000,-3856.894287,-3871,1
1000,1000,-3693.130615,-3755,1
1000,1000,-3420.575928,-3428,1
1000,1000,-3619.776611,-3652,1
1000,1000,-4096.170898,-4089,1
1000,1000,-3618.841309,-3625,1
1000,1000,-3054.725098,-3066,1
1000,1000,-4238.490723,-4258,1
1000,1000,-4111.05957,-4125,1
1000,1000,-3960.069824,-3972,1
1000,1000,-3451.395996,-3457,1
1000,1000,-3518.647217,-3522,1
1000,1000,-3970.186523,-3978,1
1000,1000,-4264.227539,-4610,1
1000,1000,-3803.139648,-3840,1
1000,1000,-3554.353027,-3596,1
1000,1000,-3631.965576,-3637,1
1000,1000,-3354.068604,-3378,1
1000,1000,-3854.855225,-3884,1
1000,1000,-3789.503174,-3780,1
1000,1000,-4006.57959,-4057,1
1000,1000,-3563.574219,-3558,1
1000,1000,-3959.126465,-3976,1
1000,1000,-3919.276611,-3947,1
1000,1000,-3166.805176,-3179,1
1000,1000,-3744.214355,-3750,1
1000,1000,-3603.749023,-3645,1
1000,1000,-3970.049072,-3986,1
1000,1000,-3889.498291,-3935,1
1000,1000,-3885.442871,-3910,1
1000,1000,-3752.343262,-3749,1
1000,1000,-3843.32959,-3861,1
1000,1000,-3572.530273,-3587,1
1000,1000,-3839.759033,-3847,1
1000,1000,-3977.834229,-3971,1
1000,1000,-3954.343994,-3966,1
1000,1000,-3253.465088,-3275,1
1000,1000,-3815.968506,-3837,1
1000,1000,-3491.64209,-3530,1
100,250,-377.5685425,-377,0
100,250,-453.399231,-453,0
100,250,-374.6105957,-374,0
100,250,-397.541626,-397,0
100,250,-479.6889648,-479,0
100,250,-105.6938705,-105,0
100,250,-331.2828979,-331,0
100,250,-377.9802856,-377,0
100,250,-434.3981628,-434,0
100,250,-407.7345276,-407,0
100,250,-349.1918945,-349,0
100,250,-386.1929321,-386,0
100,250,-237.0190582,-237,0
100,250,-362.3470154,-362,0
100,250,-344.4549561,-344,0
100,250,-462.4086914,-462,0
100,250,-431.5194092,-431,0
100,250,-423.3135986,-423,0
100,250,-411.5273438,-411,0
100,250,-475.6242065,-475,0
100,250,-420.7400513,-420,0
100,250,-349.5119324,-349,0
100,250,-378.8178711,-378,0
100,250,-378.2779541,-378,0
100,250,-389.7258301,-389,0
100,250,-456.4230347,-456,0
100,250,-370.3565674,-370,0
100,250,-315.3856201,-315,0
100,250,-335.3468628,-335,0
100,250,-334.0067139,-334,0
100,250,-343.1654663,-343,0
100,250,-470.4936523,-470,0
100,250,-274.0461426,-274,0
100,250,-377.2813721,-377,0
100,250,-400.6985474,-400,0
100,250,-487.1141357,-487,0
100,250,-257.6140137,-257,0
100,250,-317.1176758,-317,0
100,250,-431.3344727,-432,0
100,250,-295.085022,-295,0
100,250,-307.8226318,-307,0
100,250,-390.1054077,-390,0
